grid,velocity,T,density,Y_C2H4,Y_O2,Y_CO2,Y_CO,Y_H2O,Y_H2,Y_N2
0.0,0.8969484392947452,300.0,1.1118424521288517,0.05490943808862901,0.2192008426301325,0.0,4.59816148060118e-15,5.711500929587698e-07,0.0039456491947264865,0.7219434989364144
0.004,0.9001388840814324,301.08735085694184,1.10790165297649,0.054909438131722374,0.219122328109475,0.0,4.6085050244394265e-15,8.898389643511045e-05,0.003935747158240828,0.721943502704122
0.008,0.9034859457825042,302.22823291589424,1.1037973177988865,0.05490943815291561,0.21903992928497215,0.0,4.6232945412134844e-15,0.00018176911844207288,0.003925358217967055,0.7219435052256984
0.01,0.9052008407697867,302.81283817889,1.101706187029881,0.05490943816367554,0.21899770233352073,0.0,5.557319722301214e-15,0.00022931881939550542,0.003920034175512177,0.7219435065078904
0.011,0.906069019992181,303.10881531468027,1.1006505535341695,0.05490943817160749,0.21897632247823123,1.291543444879091e-16,3.54785084435092e-14,0.0002533938244473408,0.0039173387158950605,0.7219435068097834
0.012,0.9069481103089244,303.4084820462014,1.0995837123514622,0.05490943813928642,0.21895467251191825,4.018256022426417e-14,1.3222601000145301e-12,0.00027777031725826734,0.003914620193734762,0.7219434988364398
0.0125,0.9073909665123855,303.55926702731927,1.0990470565303856,0.05490943796159191,0.21894376936226034,8.891241376234665e-13,2.2228850427324505e-11,0.0002900360189583965,0.003913298720678916,0.7219434579133925
0.012750000000000001,0.9076144791284975,303.63493764211375,1.0987764014249417,0.05490943747974228,0.2189382769254573,1.0101557098166742e-11,1.9726420989923124e-10,0.0002961897830949782,0.003912746507538627,0.7219433490968011
0.013000000000000001,0.9078439862164291,303.71112355280917,1.0984986260944123,0.05490943550205903,0.21893268316076786,1.464697676767179e-10,2.2091571129901694e-09,0.00030236971188972624,0.003912581633932571,0.7219429276357238
0.013250000000000001,0.9080991337757265,303.79013473242236,1.0981899822338328,0.05490942619445773,0.21892671788634205,2.1647568905705283e-09,2.5330299270967718e-08,0.00030863254391649863,0.003913912163564512,0.721941283716663
0.013375000000000001,0.9082795134917439,303.83897539128304,1.0979718869533404,0.05490940237857507,0.21892308538116478,1.3617865786794227e-08,1.27854842868868e-07,0.0003120110150170732,0.003916736066276899,0.7219386236862576
0.013500000000000002,0.9086508345598955,303.9341214279789,1.0975231993543895,0.05490927648316919,0.2189173224755524,1.0407609632423573e-07,7.680554865913455e-07,0.0003166995977080372,0.003924070823390913,0.7219317584885966
0.013625000000000002,0.909888102626658,304.2754549726482,1.0960307870487211,0.054908448044191385,0.2189018316303528,8.179008715362898e-07,4.762479318977572e-06,0.0003288866024225259,0.0039423314057069805,0.7219129219371356
0.013687500000000002,0.9120977669417746,304.9367491836125,1.0933755304920376,0.05490609211004306,0.21887458783335786,3.015604097895297e-06,1.4592222079411105e-05,0.00035111193530910673,0.003961383899633827,0.7218892163954788
0.013750000000000002,0.9186225528591668,306.97797927120286,1.0856095319350525,0.05489614760646814,0.21878754187112157,1.271555529547998e-05,4.993987834342108e-05,0.00042207328640963805,0.003994014463281287,0.7218375673390806
0.013781250000000002,0.9268596132366718,309.61435560362474,1.0759616733253237,0.05487913277433666,0.2186657797662016,2.9876458103788952e-05,0.00010174973309122565,0.0005183338453065338,0.004018993676392689,0.7217861337465675
0.013812500000000002,0.9435135681621154,315.00425867219553,1.0569699129288548,0.05483516182104241,0.21839553617587198,7.546310919259754e-05,0.00021884634804948834,0.0007232774989439813,0.004052557601142452,0.7216991574457571
0.013843750000000002,0.9768481644911201,325.8658511976991,1.0209012394293584,0.05472428012198854,0.21780333327207477,0.00019365974835901652,0.0004778763592988758,0.0011497316085256851,0.00409709091166564,0.7215540279780875
0.013859375000000002,1.0056730564504168,335.2879104608088,0.9916398998157891,0.05460717783544017,0.2172459595542855,0.00032162872769388065,0.0007226588852818795,0.0015308106624663848,0.004124847475108717,0.7214469168597234
0.013875000000000002,1.0478752756247098,349.1023167688434,0.9517025334676531,0.05440855734507146,0.2163796947494491,0.0005431945402776462,0.0011037394815034641,0.0020965337624436068,0.004156663373356142,0.7213116167478986
0.013890625000000002,1.1085272510398503,368.96866047104817,0.8996310849302669,0.054080906751983626,0.21506393531161394,0.0009164038618267479,0.001683360583254472,0.002913588027556428,0.004192696426152082,0.7211491090376125
0.013906250000000002,1.1936174647853386,396.8377752889749,0.8354984817840955,0.05355855507096349,0.213122416388314,0.0015240039606479552,0.002540015115148144,0.004054305762019129,0.00423291394682058,0.7209677897560867
0.013921875000000002,1.3095422192927166,434.7790480940085,0.7615375458021154,0.052757722329663824,0.21035237307556484,0.0024751051744079772,0.0037650676517156493,0.005586228388844889,0.004277093975404795,0.7207864094043981
0.013937500000000002,1.4623132132527796,484.71526010690974,0.6819780652679701,0.05157970329122999,0.20654105599052824,0.0039026518398549287,0.0054566830717264645,0.00756027566334749,0.004324915618379401,0.7206347145249334
0.013953125000000002,1.6566896431058167,548.1365657091909,0.6019627698605972,0.0499157393774238,0.20148520856687785,0.0059575703275135325,0.007713573006579471,0.01000133108869951,0.004376160875524141,0.7205504167573816
0.013968750000000002,1.8954850882406766,625.8783117787516,0.526126757955541,0.04765113298015121,0.19500946753077875,0.008801409543462634,0.010631590821600123,0.01290247097415468,0.004431028022707626,0.720572900127145
0.013976562500000001,2.032658100532084,670.4326834043802,0.49062131486688343,0.046188654108942975,0.19102975105987713,0.01065695698248271,0.012447299634259706,0.014576106666282502,0.004461349002931545,0.7206398825452235
