grid,velocity,T,density,Y_H2,Y_H,Y_O2,Y_O,Y_OH,Y_HO2,Y_H2O2,Y_H2O,Y_N2
0.0,2.3446732321495887,300.0,0.8494721085515865,0.028522387527567396,1.0559236114596372e-18,0.22635400697100724,0.0,0.0,2.706417552004938e-16,0.0,0.0,0.7451236055014252
0.008,2.344673232149589,300.00000000000006,0.8494721085515862,0.028522387527567396,1.920313705238555e-23,0.22635400697100722,0.0,0.0,2.883740865617843e-16,0.0,0.0,0.7451236055014252
0.016,2.3446732321495887,300.0,0.8494721085515865,0.028522387527567396,0.0,0.22635400697100722,0.0,0.0,2.830194548326396e-16,0.0,0.0,0.7451236055014252
0.02,2.3446732321495887,299.99999999999994,0.8494721085515867,0.028522387527567392,0.0,0.22635400697100722,0.0,0.0,2.809955203951738e-16,0.0,0.0,0.7451236055014252
0.022,2.3446732321495842,299.99999999999994,0.8494721085515882,0.02852238752756721,0.0,0.22635400697100727,0.0,0.0,2.8013364867078497e-16,0.0,0.0,0.7451236055014253
0.024,2.3446732321493458,300.0,0.8494721085516747,0.02852238752755666,0.0,0.22635400697101044,0.0,0.0,2.7941540492298425e-16,0.0,0.0,0.7451236055014328
0.025,2.34467323214421,300.00000000000307,0.849472108553535,0.028522387527328733,0.0,0.22635400697107882,0.0,0.0,2.7910727543465557e-16,0.0,0.0,0.7451236055015923
0.025500000000000002,2.344673232087636,300.0000000000618,0.849472108574032,0.028522387524809147,0.0,0.2263540069718347,0.0,0.0,2.7931758412342734e-16,0.0,0.0,0.745123605503356
0.026000000000000002,2.3446732312399994,300.0000000015963,0.8494721088811314,0.028522387486832796,3.7691280750431363e-23,0.22635400698322758,2.4189524599154257e-17,3.199570887644468e-20,2.928506431064392e-16,0.0,1.3526893010987203e-16,0.7451236055299393
0.026500000000000003,2.3446732185964687,300.00000004167106,0.8494721134618892,0.028522386914435757,1.484726272003469e-21,0.22635400715494391,9.532093563409877e-16,1.2615838091668859e-18,8.288690926085498e-16,2.8725839897101875e-17,6.12804908035047e-15,0.7451236059306124
0.026750000000000003,2.3446731468497575,300.00000043914827,0.849472139455761,0.028522383607600312,1.7987333274471154e-20,0.2263540081469409,1.1514345546267522e-14,1.527009975294138e-17,9.059123357109997e-15,1.1205711226048248e-15,9.98039559486997e-14,0.7451236082453373
0.027000000000000003,2.344672587431828,300.00000582810316,0.849472342133228,0.028522357033139944,2.7471986585021113e-19,0.22635401611803596,1.741026390987911e-13,2.3534763614087046e-16,1.9167520803643167e-13,2.647764545836665e-14,2.0863155509362984e-12,0.7451236268463454
0.027250000000000003,2.344668324429894,300.0000788910675,0.8494738866246954,0.028522143475575957,4.490085605266937e-18,0.2263540801575968,2.676824954760196e-12,4.054001347502516e-15,4.294508198920874e-12,6.1533141624524e-13,4.4223259802997216e-11,0.7451237763150134
0.027375000000000003,2.3446561274431557,300.0004594932419,0.8494783056410615,0.028521473215849334,3.914205142104558e-17,0.2263542810033695,1.7436132571624303e-11,4.236965001875102e-14,3.9631745520765205e-11,5.816887245954184e-12,3.8470178648621305e-10,0.7451242453331522
0.027500000000000004,2.3446092380020294,300.00322994636764,0.8494952943012863,0.028518445049582952,5.652700231623323e-16,0.2263551868045012,1.3805448331090962e-10,7.515101581269657e-13,4.6110972073371646e-10,6.881204037459769e-11,4.167008992043741e-09,0.7451263633101786
0.027625000000000004,2.3444572457355055,300.0233979648302,0.8495503677942112,0.028504766218088375,1.200538857688498e-14,0.22635926073375912,1.1235549718564031e-09,1.8170718055488475e-11,5.477543202739815e-09,8.316289775216889e-10,4.616954783466319e-08,0.7451359194276947
0.027687500000000004,2.3443442543637056,300.08098134980736,0.8495913142842959,0.028479893894161164,1.2786687310430906e-13,0.2263665945018548,4.265678204012349e-09,2.0111641983426656e-10,2.8288040052095118e-08,4.38959075411013e-09,2.2616974384078742e-07,0.745153248289687
0.027750000000000004,2.344655895620514,300.3194494140787,0.8494783904851025,0.028411378880981858,1.2853103161467526e-12,0.22638637828380037,1.864173811631017e-08,2.035918547049676e-09,1.7358833824361042e-07,2.767494009345125e-08,1.3131285799865513e-06,0.7452007077644174
0.027781250000000004,2.3459853526429884,300.719613774082,0.8489969945916327,0.02833215755795525,5.961879962494849e-12,0.226408305604364,4.511760015088012e-08,9.244694224688327e-09,5.342617329437344e-07,8.758283733150728e-08,3.904232950422156e-06,0.7452549563919039
0.027812500000000004,2.3506498696709963,301.7482657047929,0.8473122806928045,0.0281841329197918,2.7519676043255552e-11,0.22644624241959316,1.1882711959552693e-07,4.105899286594991e-08,1.8479186247641448e-06,3.1205478242013356e-07,1.2969791698964515e-05,0.7453543349818768
0.027828125000000002,2.3565986737263596,302.8676933265496,0.8451733886157563,0.028062221060404017,7.134496245350309e-11,0.22647343834386302,2.0549973084321366e-07,9.833870938509411e-08,3.7967920812927488e-06,6.52977806095375e-07,2.595004816016841e-05,0.7454336368679002
0.027843750000000004,2.368163416045882,304.8630973296638,0.8410460372199822,0.027888610385317522,2.0207723721150927e-10,0.2265042624727586,3.7023506513858465e-07,2.399354848577826e-07,8.30515694620591e-06,1.4509654198813418e-06,5.488855692652289e-05,0.745541872090004
0.027859375000000006,2.3900896738909623,308.4119260783967,0.8333304073154322,0.027643116110149607,7.040605077773797e-10,0.22652993488924178,6.858048222270292e-07,5.958429845120807e-07,1.8680695127839354e-05,3.2880384785059863e-06,0.00011877967571776426,0.7456849182394173
