grid,velocity,T,density,Y_C2H4,Y_O2,Y_CO2,Y_CO,Y_H2O,Y_H2,Y_N2
0.0,0.846889079792572,300.00000000000006,1.1698532681015976,0.06372925403106675,0.21806608724097276,0.0,9.638304361495299e-17,9.907035410723746e-16,0.0,0.7182046587279594
0.004,0.8468890797925755,300.00000000000006,1.1698532681015976,0.06372925403106675,0.21806608724097273,0.0,5.0768771365097656e-17,9.865506966081278e-16,0.0,0.7182046587279594
0.008,0.8468890797925731,300.00000000000034,1.1698532681015965,0.06372925403106675,0.21806608724097273,0.0,5.0017148866396155e-17,1.0172965179128632e-15,0.0,0.7182046587279594
0.009000000000000001,0.8468890797925948,300.00000000000784,1.1698532681015663,0.06372925403106676,0.21806608724097248,0.0,7.655898988828364e-17,1.765154238559031e-15,0.0,0.718204658727959
0.01,0.8468890797934706,300.0000000003127,1.1698532681003562,0.06372925403106691,0.21806608724095933,0.0,1.21312274171784e-15,3.1175158574116773e-14,0.0,0.7182046587279413
0.011,0.8468890798290863,300.0000000127093,1.169853268051164,0.06372925403107052,0.21806608724040055,9.506836352312044e-15,4.981930652991404e-14,1.1877545737712186e-12,0.0,0.7182046587272819
0.012,0.8468890812767065,300.00000051680195,1.1698532660518142,0.06372925403107112,0.21806608721655502,6.871836818495978e-13,2.1285416971001935e-12,4.6671856144697836e-11,0.0,0.7182046587028863
0.0125,0.8468891035220323,300.0000082667014,1.1698532353281084,0.06372925402841444,0.21806608683178455,1.5034541206685574e-11,3.572629700362806e-11,7.231347498570267e-10,0.0,0.7182046583659054
0.013000000000000001,0.8468895667252644,300.00016971223715,1.1698525955834642,0.06372925390360595,0.21806607841267656,4.2485556111158525e-10,7.709694964811237e-10,1.4362990786240057e-08,0.0,0.7182046521249017
0.013250000000000001,0.8468932414781024,300.0014510984066,1.1698475202711756,0.06372925221816475,0.21806600817382066,4.866055947301074e-09,6.896596996802647e-09,1.1920319739651848e-07,0.0,0.7182046086421643
0.013375000000000001,0.8469087362388726,300.00685653324246,1.1698261202883993,0.06372924155940732,0.21806569716950047,3.004138884787757e-08,3.394526858386549e-08,5.483236674666988e-07,0.0,0.7182044489607674
0.013500000000000002,0.8470010062073623,300.03905980592555,1.1696987000957224,0.06372915254956067,0.21806375487046872,2.286944410245749e-07,2.0219529780555473e-07,3.032991035602062e-06,0.0,0.7182036286991963
0.013625000000000002,0.8475502850482565,300.2308569339548,1.168940735918363,0.06372842996730754,0.2180516139678644,1.795295143935795e-06,1.2481705374423324e-06,1.7410339033536885e-05,0.0,0.7181995022601132
0.013687500000000002,0.8488440665898765,300.6828467105373,1.167159249298604,0.06372618222230243,0.21802162907676614,6.617566143966847e-06,3.814258761635692e-06,5.035746832953659e-05,0.0,0.7181913994076964
0.013750000000000002,0.8533274646498167,302.24990368080006,1.161027464173947,0.06371626372537857,0.21791321293873728,2.7917590066895546e-05,1.3023842535002464e-05,0.00016145415879412252,0.0,0.7181681277444881
0.013812500000000002,0.8687397267675312,307.6393350179509,1.1404309277338103,0.06367351049960382,0.21752628076143876,0.00012057481001760048,4.561626044655487e-05,0.0005300243558679125,0.0,0.7181039933126254
0.013843750000000002,0.8902492398789519,315.16334308242995,1.1128777090716497,0.06360085156810796,0.21696846799398797,0.00028038965783801385,9.220696805174883e-05,0.0010249571382974167,0.0,0.7180331266737169
0.013875000000000002,0.9363431497609849,331.28911129007247,1.0580946470539192,0.06342025562103804,0.21575463593856314,0.0006848913211432113,0.00019286614622530235,0.002032756745617256,0.0,0.717914594227413
0.013890625000000002,0.9781570331400825,345.9154649560523,1.012864188314292,0.06323382038341682,0.21463035632329752,0.0011105420993540475,0.00028554316522890144,0.002909413033332983,0.0,0.7178303249953696
0.013906250000000002,1.041025074132439,367.90211228052164,0.9516972071185253,0.06292807297990548,0.2129292896266196,0.001821026689078957,0.00042517342178227435,0.004165382297829479,0.0,0.7177310549847842
0.013921875000000002,1.1327091386019092,399.9524431178226,0.8746648178181047,0.06244709225205202,0.21044352144315345,0.002960436804396594,0.000628525045969044,0.005894670404502131,0.0,0.7176257540499268
0.013929687500000003,1.193033542445539,421.0265399100588,0.8304383329482594,0.06210412966935607,0.2087672011031595,0.0037862292528440702,0.0007653368117612911,0.007002640518782889,0.0,0.7175744626440961
0.013937500000000002,1.2649310194714538,446.1336590128719,0.7832368899831024,0.06167593241059266,0.20675404236538775,0.004830025229949847,0.0009293963260563285,0.008281781563948269,0.0,0.7175288221040651
0.013945312500000001,1.3494908486820767,475.6487934088157,0.7341586576812507,0.061149348349875184,0.2043668215698833,0.0061294520899827475,0.0011237120445563515,0.00973830836145887,0.0,0.7174923575842436
0.013953125000000002,1.4476191867076718,509.88208069249305,0.6843927342154525,0.060511299521057195,0.20157118509216376,0.007722943976883271,0.001351081926031775,0.011374893442771547,0.0,0.7174685960410925
0.013960937500000003,1.5600095410652397,549.0690061843825,0.635085630129307,0.059749065705051944,0.19833635996553448,0.009648830905543136,0.0016140569814863594,0.013191000791911274,0.0,0.7174606856504728
0.013964843750000002,1.6219188343863484,570.6421009318856,0.6108441750568322,0.05930706102517708,0.1965044774798701,0.010775332580655684,0.0017629825127453292,0.014186702664890862,0.0,0.717463443736661
0.013968750000000002,1.6877354063802026,593.5710694220944,0.5870227439523186,0.058825389047657654,0.19454025014563564,0.012010205155466773,0.0019226955659886827,0.015230432907484565,0.0,0.7174710271777667
0.013972656250000002,1.7574908873249309,617.8657746436791,0.5637235491995354,0.058302282198549354,0.19244026252805108,0.013358960321101112,0.002093526037717687,0.0163214548860365,0.0,0.7174835140285444
